Product Name,Price (Ksh),Discount (%),Total Reviews
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 11,599",No discount,No reviews
La Roche-Posay Anthelios UVMUNE 400 Invisible Fluide Facial Sunscreen SPF 50+,KSh 920,No discount,No reviews
Hamilton Modern Design Coffee Table With Storage,"KSh 4,550",No discount,No reviews
Solarmax 80AH Solar Battery  + Sunlight 100 Watts Solar Panel  Full Kit All Weather + 300 Watts Solar  Inverter + 10 Amp Controller +  4 DC Bulbs + 10M Cable,"KSh 11,990",No discount,No reviews
5 By 6 White Mosquito Net With Portable Metallic Stand,"KSh 1,258",No discount,No reviews
Solarmax 200Ah Solar Battery Deep Cycle Gel Non Maintenance,"KSh 11,999",No discount,No reviews
Sony ps4  FC 25,"KSh 6,950",No discount,No reviews
"Itel A18S 5.5"", 32GB+4GB RAM (2+2GB),Fingeprint-Black /BL","KSh 6,599",No discount,No reviews
Mosquito Net With Metallic Stand 4 By 6 - Purple,"KSh 1,254",No discount,No reviews
"Vitron 4388FS- 43"" Inch-Smart-Digital TV ,Frameless /Bluetooth TV ,Android ,Youtube/Netflix+FREE EXTENSION+WALL MOUNT","KSh 21,699",No discount,No reviews
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black","KSh 12,999",No discount,No reviews
Nobel 5.1CH DIGITILALISED HOME THEATRE SOUND SYSTEM BT/USB/FM 22000W PMPO,"KSh 14,799",No discount,No reviews
"Vitron 4388FS,43"" Inch FRAMELESS Smart Android TV Netflix INBUILT DECODER, Bluetooth Enabled Television (1 Year Warranty)+FREE BRACKET","KSh 20,999",No discount,No reviews
Artificial X-MAS Christmas Tree 2FT - 10FT Christmas Tree,"KSh 1,199 - KSh 9,000",No discount,No reviews
"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil 1YR WRTY",KSh 519,No discount,No reviews
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 18,499",No discount,No reviews
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black (1YR WRTY)","KSh 26,099",No discount,No reviews
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,199",No discount,No reviews
"Vision Plus 32"" Digital HD Frameless TV, DVBT2/S2 - Black (2YRS WRTY)","KSh 9,799",No discount,No reviews
Fashion Casual Shoes For Men-black,"KSh 1,390",No discount,No reviews
Julz Modern Design Coffee Table With Storage,"KSh 7,999",No discount,No reviews
Istanbul 2 Modern TV Stand With LED Lights,"KSh 6,599",No discount,No reviews
Smartwatch Business Bluetooth Waterproof Sport,KSh 574,No discount,No reviews
Machislet Europe And The United States Women's Fashion Long Sleeve Loose Dreeses,KSh 673,No discount,No reviews
HP EliteBook 820 G1 Intel Core I5 6th Gen 8GB RAM 256GB SSD 12.5 Inches,"KSh 20,200",No discount,No reviews
"VILLAON V20SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim","KSh 4,700",No discount,No reviews
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 11,199",No discount,No reviews
20PCS Refrigerator Food Seal Pocket,KSh 450,No discount,No reviews
ASHION Fashion Casual Baseball Sweatshirt Casual Jacket - Green/White,"KSh 1,083 - KSh 1,190",No discount,No reviews
